137,40.2,47.47,61.78,43.91,,,,,,,
138,40.1,47.38,61.57,44.35,,,,,,,
139,40.39,48.21,62.46,43.72,,,,,,,
140,40.02,48.21,62.45,45.66,,,,,,,
141,40.13,48.27,62.75,44.88,,,,,,,
142,40.22,48.16,63.33,45.74,,,,,,,
143,40.54,48.42,63.91,44.06,,,,,,,
144,40.79,48.6,63.45,44.28,,,,,,,
145,40.82,49.07,63.73,46.11,,,,,,,
146,40.47,49.01,63.79,46.02,,,,,,,
147,40.79,49.12,64.25,45.65,,,,,,,
148,40.84,49.45,64.87,46.56,,,,,,,
149,40.62,49.5,65.26,47.59,,,,,,,
150,41.04,50.11,65.47,45.86,,,,,,,
151,40.73,49.94,65.74,46.5,,,,,,,
152,41.19,50.41,66.2,46.77,,,,,,,
153,40.9,50.33,66.4,46.24,,,,,,,
154,41.43,50.59,66.16,46.94,,,,,,,
155,41.63,50.46,65.49,48.52,,,,,,,
156,41.38,51.08,66.54,47.63,,,,,,,
157,41.46,51.15,67.23,47.31,,,,,,,
158,41.92,51.32,67.18,47.96,,,,,,,
159,41.91,51.6,67.22,47.2,,,,,,,
160,41.75,51.85,67.56,46.52,,,,,,,
161,41.87,52.09,68.44,49.32,,,,,,,
162,41.85,52.06,68,48.97,,,,,,,
163,41.94,52.14,68.12,48.27,,,,,,,
164,42.19,52.11,68.81,48.61,,,,,,,
165,42.67,52.78,68.91,50.3,,,,,,,
166,42.09,52.8,69.28,49.16,,,,,,,
167,42.64,53.05,69.22,49.08,,,,,,,
168,42.42,53.28,69.87,50.06,,,,,,,
169,42.49,53.57,70.32,50.07,,,,,,,
170,42.77,53.93,69.76,48.8,,,,,,,
171,42.83,54.05,70.66,50.27,,,,,,,
172,42.93,54.01,70.55,50.36,,,,,,,
173,42.73,54.33,70.46,49.95,,,,,,,
174,42.85,54.54,71.24,50.66,,,,,,,
175,43.25,54.73,70.91,50.83,,,,,,,
176,43.23,54.66,71.33,50.55,,,,,,,
177,43.23,55.22,71.65,50.75,,,,,,,
178,43.16,55.58,71.76,50.58,,,,,,,
179,43.5,55.48,72.14,51.63,,,,,,,
180,43.55,55.47,72.97,51.35,,,,,,,
181,43.78,55.75,72.73,51.98,,,,,,,
