TipoAntena,NAntenas,Caso,PotenciaAntena_W,PotenciaTotal_W,Detectada,CubiertaPorCarbonizacion,PotenciaCarbonizante_W,MinutoCorteCarbonizante,FaltanteBruta,FaltanteEfectiva
Doble_slot,3,5,30,90,0,0,NaN,NaN,1,1
Doble_slot,3,6,5,15,0,0,NaN,NaN,1,1
Doble_slot,3,6,10,30,0,0,NaN,NaN,1,1
Doble_slot,3,6,15,45,0,0,NaN,NaN,1,1
Doble_slot,3,6,20,60,0,0,NaN,NaN,1,1
Doble_slot,3,6,25,75,0,0,NaN,NaN,1,1
Doble_slot,3,6,30,90,0,0,NaN,NaN,1,1
Doble_slot,3,7,15,45,0,0,NaN,NaN,1,1
Doble_slot,3,7,20,60,0,0,NaN,NaN,1,1
Doble_slot,3,7,25,75,0,0,NaN,NaN,1,1
Doble_slot,3,7,30,90,0,0,NaN,NaN,1,1
Doble_slot,3,8,5,15,0,0,NaN,NaN,1,1
Doble_slot,3,8,10,30,0,0,NaN,NaN,1,1
Doble_slot,3,8,15,45,0,0,NaN,NaN,1,1
Doble_slot,3,8,20,60,0,0,NaN,NaN,1,1
Doble_slot,3,8,25,75,0,0,NaN,NaN,1,1
Doble_slot,3,8,30,90,0,0,NaN,NaN,1,1
Doble_slot,4,0,15,60,0,0,NaN,NaN,1,1
Doble_slot,4,0,20,80,0,0,NaN,NaN,1,1
Doble_slot,4,0,25,100,0,0,NaN,NaN,1,1
Doble_slot,4,0,30,120,0,0,NaN,NaN,1,1
Doble_slot,4,1,15,60,0,0,NaN,NaN,1,1
Doble_slot,4,1,20,80,0,0,NaN,NaN,1,1
Doble_slot,4,1,25,100,0,0,NaN,NaN,1,1
Doble_slot,4,1,30,120,0,0,NaN,NaN,1,1
Doble_slot,4,2,5,20,0,0,NaN,NaN,1,1
Doble_slot,4,2,10,40,0,0,NaN,NaN,1,1
Doble_slot,4,2,15,60,0,0,NaN,NaN,1,1
Doble_slot,4,2,20,80,0,0,NaN,NaN,1,1
Doble_slot,4,2,25,100,0,0,NaN,NaN,1,1
Doble_slot,4,2,30,120,0,0,NaN,NaN,1,1
Doble_slot,4,3,15,60,0,0,NaN,NaN,1,1
Doble_slot,4,3,20,80,0,0,NaN,NaN,1,1
Doble_slot,4,3,25,100,0,0,NaN,NaN,1,1
Doble_slot,4,3,30,120,0,0,NaN,NaN,1,1
Doble_slot,4,4,5,20,0,0,NaN,NaN,1,1
Doble_slot,4,4,10,40,0,0,NaN,NaN,1,1
Doble_slot,4,4,15,60,0,0,NaN,NaN,1,1
Doble_slot,4,4,20,80,0,0,NaN,NaN,1,1
Doble_slot,4,4,25,100,0,0,NaN,NaN,1,1
Doble_slot,4,4,30,120,0,0,NaN,NaN,1,1
Doble_slot,4,5,30,120,0,0,NaN,NaN,1,1
